class_name,sentence
Operability,"The Proposer shall provide and manage all required infrastructure and network equipment within the data center, such as servers, routers, switches, load balancers and consoles."
Usability,If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100.
Security,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.
Operability,The system shall provide the ability for remote access by authorized individuals (i.e. web based VPN access).
Operability,"The system shall be able to self-monitor and automatically take actions to address various issues including hardware failures, software crashes, performance degradation, errors, and communication disruptions."
Usability,The system shall allow users to complete common tasks in 1000 clicks or less.
Maintainability,"(9) The ASC X12N 270 or 271ï¿½Health Care Eligibility Benefit Inquiry and Response, Version 4010, May 2000, Washington Publishing Company, 004010X092 and Addenda to Health Care Eligibility Benefit Inquiry and Response, Version 4010, October 2002, Washington Publishing Company, 004010X092A1, as referenced in section 162.1202."
Usability,The system shall be used by realtors with no training
Security,Only administrators can activate a pre-paid card.
Usability,The application of the application in compliance with accessibility standards and supporting the experience of disabled visitors
Usability,"User interface, easy to comply with easy accessibility and usability standards"
Security,An example of reflexive testing is when a confirmatory test is automatically ordered after a screening test is positive.
Security,Only allowing the IP address of the third party portal to access the SOAP APIs (for patient access)
Usability,The system shall be intuitive to the Program Administrators/ Nursing Staff Members.
Security,The system shall lock accounts after 50 failed login attempts.
Security,"The system shall encrypt data items to prevent unauthorized access, tampering, and eavesdropping."
Operability,A primary database will be used to store cached data for active users.
Usability,Ensuring accessibility and usability of disabled users
Security,The patient has authenticated himself or herself in the iTrust Medical Records system (UC3).
Usability,The System must provide End User and Administrator functions which are easy to use and intuitive throughout.
Usability,The user shall easily locate instructions while using the product. User help can be found within 90% of the system.
Security,The iTrust user has been authenticated in the iTrust Medical Records system (UC3).
Usability,The number of mistakes noted by the students shall be decreased by 50% in the first year.
Usability,The system shall provide Japanese language support for international users.
Maintainability,The system shall capture and maintain demographic information as discrete data elements as part of the patient record.
Performance,The system shall support up to 50 concurrent users without performance degradation.
Security,"The User agrees to establish appropriate administrative, technical, and physical safeguards to protect the confidentiality of the data and to prevent unauthorized use or access to it."
Operability,We must be able to interface with any HTML browser.
Security,"The system shall enable multiple simultaneous users, each with his or her own exclusive authentication."
Maintainability,"The National Council for Prescription Drug Programs (NCPDP) Telecommunication Standards Implementaiton Guide, Version 5, Release 1, September 1999, and equivalent NCPDP Batch Standards Batch Implementation Guide, Version 1, Release 1, (Version 1.1), January 2000, supporting Telecomunication Version 5.1 for the NCPDP Data Record in the Detail Data Record."
Security,The system shall restrict broadcast message transmission to authorized administrators only.
Usability,The system shall be intuitive enough for new users to operate without extensive training.
Performance,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.
Security,"Data is validated for type, length, format, and range."
Security,System does not rely on client-side validation.
Security,The iTrust user (patient) has been authenticated in the iTrust Medical Records system (UC3).
Performance,The response time of the product interface should not exceed 2 seconds 90% of the time.
Usability,The system should address a wide audience by providing multiple language support.
Operability,To have a strong infrastructure and a redundant systems to provide high usability and uninterrupted access.
Security,The system shall have the ability to display the last date and time the user logged onto the system at the time of logon.
Security,The system shall provide expiration dates for passwords.
Usability,Callers and supervisors shall learn how to use the system within 10 minutes.
Maintainability,The system hardware shall be able to receive fixes and patches over an internet connection.
Performance,System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.
Maintainability,The system shall support common database connectivity protocols such as ODBC.
Performance,The product shall generate a CMA report in an acceptable time.
Usability,The product shall increase productivity of Collision Estimators.
Operability,The BE shall periodically or upon request check Backend physical processors and assure that all needed processors are alive and responding.
Performance,The BE System shall be capable of delivering an output data stream to the e2e System of a minimum of 25 MBytes/sec.
Operability,The washing process must use a non binding neutral data format such as xml when receiving and processing lead data.
Usability,The user interface shall adapt to 200 different screen sizes.
Usability,All CCR users shall receive training before the WCS system is deployed.
Operability,The system shall provide the ability for on-line access by any site connected to the organization WAN.
Security,The County standard for users is 90 days.
Operability,All cardmember detail information must be obtained from the Cardmember Information Database.
Security,The HCP has authenticated himself or herself in the iTrust Medical Records system(UC3).
Operability,The system shall achieve 99.99% uptime during business hours.
Performance,The Backend system shall ultimately be scaleable to an extent that it will be capable of handling up to two Gbytes per second per Correlator output channel in real-time.
Security,The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.
Performance,To ensure that the application can work with low bandwidth and low system requirements
Security,The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.
Security,"The equipment storing PHI and BI should be subject to: Physical access restrictions: Place the server in a protected, locked area and limit access."
Operability,The lead washing process will operate within the established physical web service structure.
Operability,The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.
Operability,A secondary database will be used to store historical statistics and data.
Maintainability,The PHP code will comply with PEAR standards.
Security,The system shall detect consecutive failed login attempts and implement appropriate security measures.
Security,The product shall prevent its data from incorrect data being introduced
Security,The user may try three times.
Operability,The product must be able to interface with various email servers. The product shall be able to send email.
Usability,The system shall maintain consistent navigation patterns across all 100 modules.
Security,"Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of electronic protected health information held by the covered entity."
Usability,The user interface shall adapt to 1000 different screen sizes.
Security,System allows secure password resets in case passwords are forgotten.
Security,The system must protect user data in accordance with safety standards and ensure privacy
Security,Only managers are able to perform search queries for reservations by user. 100% of all search queries for reservations by user shall be from logons of only management logons.
Maintainability,The system shall provide the ability to perform real-time updates.
Operability,"The system shall provide data export functionality that creates common export file format (e.g. comma delimited, tab delimited, space delimited, quotation delimited, etc.)."
Maintainability,All software modules shall be designed for easy debugging by allowing simulation of inputs and outputs.
Security,"The validation approach is to constrain, reject, and then sanitize input."
Operability,The system shall recover from failures within 2 minutes.
Security,Compliance with high safety standards and protecting customer data
Performance,The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.
Usability,80% of the users surveyed report that the product accurately confirms their actions.
Usability,Callers and supervisors must be able to accomplish any system task within 2 minutes.
Usability,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.
Performance,When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.
Maintainability,"(4) Code on Dental Procedures and Nomenclature, as maintained and distributed by the American Dental Association, for dental services."
Usability,Compliance with the use of individuals with disabilities and compliance with accessibility standards
Operability,The system shall be able to establish and maintain dialog with Member systems across various technical environments.
Maintainability,The system code shall maintain a test coverage of 95%.
Security,Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.
Performance,The product shall synchronize contacts and appointments in an acceptable time.
Usability,The MultiMahjongClient will have a graphical user interface that the user will be able to interact with using a mouse and a keyboard.
Security,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.
Security,High security and authentication of access to the voting system
Security,System restricts users from directly accessing the database.
Security,System code does not rely on internal system generated error handling.
Security,Ensuring the privacy and security of user data
Usability,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.
Performance,The recycled parts audit report shall be returned to the user within 10 seconds.
Security,Procedures for monitoring log-in attempts and reporting discrepancies.
Security,The system shall use HTTPS for secure connections and ensure user proficiency with minimal training.
Security,Data integrity scripts will be run on a weekly basis to verify the integrity of the database.
Security,Protect electronic health information created or maintained by the certified EHR technology through the implementation of appropriate technical capabilities.
Security,The system shall require multi-factor authentication for privileged user access.
Security,Secrets are stored securely using a one-way hash.
Security,The system shall implement appropriate encryption for data transmission and storage.
Performance,The product interface should be fast.
Performance,The system shall be able to acquire shipping charges in less than 2 seconds.
Operability,The system shall be able to allow continued gameplay upon encountering a non-fatal error.
Maintainability,All non-GUI classes must have at least 80% unit testing or JUnit coverage of tests that pass.
Performance,The system shall process 100 requests per second under normal load.
Security,System provides the option for multi-factor authentication for users with higher security access.
Security,"All input parameters are validated (including form fields, query strings, cookies, and HTTP headers)."
Performance,System shall let the administrator add/remove categories on the website in under 5 minutes.
Maintainability,The system code shall maintain a test coverage of 99%.
Security,"When passwords are used, the system shall provide an administrative function that resets passwords."
Performance,The system shall process 5000 requests per second under normal load.
Operability,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.
Maintainability,"The ASC X12N 837ï¿½Health Care Claims: Professional, Volumes 1 and 2, Version 4010, may 2000, Washington Publishing Company, 004010X098 and Addenda to Health Care Claims: Professional, Volumes 1 and 2, Version 4010, October 2002, Washington Publishing Company, 004010x098A1."
Maintainability,The system shall support automated deployment within 30 minutes.
Operability,The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.
Usability,The product shall make the users want to use it.
Operability,Allow access to the EMH solution over the Internet and provide secure and confidential storage of all information transmitted to and from the LA DHS.
Security,User accounts and service accounts used for configuration management have only the minimum privileges required for the task.
Operability,"The BE shall trap, flag and repair infs, NaNs, underflows, overflows and other computation errors."
Usability,Users should only have to navigate through a maximum of 4 pages to create an account with the website.
Usability,The system shall provide Chinese language support for international users.
Usability,The system shall display patient annotations in a manner which distinguishes them from other content in the system.
Usability,The system has capability to have voice recognition.
Security,The patient has authenticated himself or herself in the iTrust Medical Records system(UC3).
Operability,"The system shall provide the ability to maintain multiple operating environments for development, test, training and production."
Operability,The Disputes application shall interface with the Letters application. This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.
Security,"The system shall include documentation available to the customer stating whether or not there are known issues or conflicts with security services in at least the following service areas: antivirus, intrusion detection, malware eradication, host-based firewall and the resolution of that conflict (e.g. most systems should note that full virus scanning should be done outside of peak usage times and should exclude the databases.)"
Maintainability,Every change must be reflected in WCS system documentation
Operability,The system shall recover from failures within 60 minutes.
Operability,Brio will provide buttons in the user interface that produce or export reports in xls or .123 file formats.
Security,"The system shall have the ability to support biometrics and biometrics plus passwords (e.g., fingerprint scan and fingerprint scan plus password)."
Performance,The system shall support up to 500 concurrent users without performance degradation.
Maintainability,"(2) The ASC X12N 837ï¿½Health Care Claim: Professional, Volumes 1 and 2, Version 4010, May 2000, Washington Publishing Company, 004010X098 and Addenda to Health Care Claim: Professional, Volumes 1 and 2, Version 4010, October 2002, Washington Publishing Company, 004010X098A1, as referenced in section 162.1102 and section 162.1802."
Operability,"You can check the setting in an existing MySQL instance by executing ""SHOW VARIABLES""; in the MySQL Command Line Client and checking the value of SQL_MODE."
Security,"Measures are in place to prevent, detect and log unauthorized attempts to access sensitive or confidential data."
Usability,To meet the needs of visitors who speak different languages by providing multiple language support
Security,"Enforce strong or unique passwords, which can be set in Administration->Globals->Security"
Usability,The user interface shall adapt to 100 different screen sizes.
Usability,The system shall allow users to complete common tasks in 50 clicks or less.
Security,The product possibly and possibly adjacent hardware or software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.
Security,The system shall protect user data and prevent unauthorized access.
Performance,The system should provide users to experience a smooth experience with fast response times.
Performance,Izogn Administrator must be able to update the category listings on the website within 2 minutes.
Maintainability,The software should be updated regularly and compatible with technological progress
Performance,The system shall be able to support concurrent multiplayer Mahjong games for up to 10 tables with a maximum of 40 players.
Security,A security risk assessment is a requirement for compliance with HIPAA and Meaningful Use.
Usability,Software should appeal to a wide audience by providing multiple language support.
Security,System provides integrated security managed in a central accounts database
Security,Key management procedure to secure and manage the encryption keys is defined.
Maintainability,"(5) ASC X12N 834ï¿½Benefit Enrollment and Maintenance, Version 4010, May 2000, Washington Publishing Company, 004010X095 and Addenda to Benefit Enrollment and Maintenance, Version 4010, October 2002, Washington Publishing Company, 004010X095A1, as referenced in section 162.1502."
Operability,The system shall interface with the faculty central server.
Maintainability,All new code shall be documented using the Javadoc documentation system.
Security,User data should be regularly backup and stored safely
Maintainability,"Volumes 1 and 2, Version 4010, May 2000, Washington Publishing Company, 004010X096."
Usability,80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.
Operability,The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users.
Operability,The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.
Operability,A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.
Performance,Multimedia that enrich the virtual museum experience to have a wide range of data storage capacity to store and present content
Usability,The system shall allow users to complete common tasks in 200 clicks or less.
Performance,The system’s accuracy shall be measured and meet defined thresholds for different data types.
Maintainability,The product shall continue to operate during upgrade change or new resource addition.
Security,The APAF system web server shall be password protected where appropriate to allow only pertinent ASPERA-3 team members access.
Maintainability,The system documentation shall be updated within 15 hours of changes.
Performance,The system should be able to work stable even at low internet connection speeds.
Operability,The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.
Performance,"All management software functions shall take optimal advantage of all language, compiler and system features and resources to reduce overheads to the minimum practical level."
Maintainability,"The system shall provide the ability to capture and maintain, as discrete data, a diagnosis or problem code or description associated with an order of any type (including prescriptions and medications ordered for administration)."
Operability,100% of the entities (mentioned above) available as of October month-end will be loaded into the RFS system prior to the budget start process.
Operability,"System provides configuration, user accounts, roles and privileges reports."
Operability,"Software should be available on different devices (web, mobile)"
Maintainability,"The system has capability of importing and export patient demographic data via HL7 interface from an existing Practice Management System, Patient Registration System, or any such system used for patient registration possibly and possibly scheduling."
Security,The product shall provide players no access to information that might reveal the identity of another player
Operability,The system shall support database integration with external services.
Security,Administration interfaces require strong authentication and authorization.
Usability,The product shall use symbols and words that are naturally understandable by users familiar with websites
Security,"Database keys, connections, passwords, or other secrets are not stored in plain text."
Operability,The product must support Internet Explorer 5.5 and above.
Performance,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.
Security,The system shall enforce password changes every 1000 days.
Operability,The product must support Internet Explorer 5.5 and above.'
Performance,System shall let existing customers log into the website with their email address and password in under 5 seconds
Maintainability,"The ASC X12N 837ï¿½Health Care Claim: Institutional, Volumes 1 and 2, Version 4010, May 2000, Washington Publishing Company, 004010X096 and Addenda to Health Care Claim: Institutional, Volumes 1 and 2, Version 4010, October 2002, Washington Publishing Company, 004010X096A1."
Usability,The product shall allow for intuitive searching of available conference rooms.
Usability,All of the users shall be able to use the system after one day of training.
Performance,While streaming a movie buffering should only occur if there is latency in the user's connection.
Security,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user's access level.
Usability,One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available)
Maintainability,The system shall use modular architecture with 5000 independent components.
Operability,The same hardware supporting the current website will be used to support the new system.
Security,"After three failed attempts with a userid in a given session, disallow attempts to log in via IP address for 15 minutes (see comments in the source code)."
Usability,The application is suitable for the use of disabled individuals
Operability,"It should be used on different platforms (Windows, MacOS, Linux)"
Operability,The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats).
Security,"Private and sensitive data (for example, passwords) are not logged"
Security,"Implement policies and procedures to prevent, detect, contain, and correct security violations."
Security,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.
Maintainability,"The NCPDP Telecommunication Standard Implementation Guide, Version 5, Release 1 (Version 5.1), September 1999, and equivalent NCPDP Batch Standard Batch Implementation Guide, Version 1, Release 1 (Version 1.1), January 2000, supporting Telecommunications Standard Implementation Guide, Version 5, Release 1 (Version 5.1) for the NCPDP Data Record in the Detail Data Record."
Security,Ensure that the adequate separation required by section 164.504(f)(2)(iii) is supported by reasonable and appropriate security measures;
Security,The system shall enforce password changes every 500 days.
Maintainability,SwRI shall provide APAF system maintenance.
Usability,The system shall allow users to complete common tasks in 5000 clicks or less.
Maintainability,Collecting user feedback and creating a mechanism to make quick feedback
Usability,Localization and multiple language support suitable for various geographical regions
Usability,The system shall allow users to complete common tasks in 500 clicks or less.
Operability,The product shall enable access to any type of development environment and platform.
Maintainability,"(3) National Drug Codes (NDC), as maintained and distributed by HHS, in collaboration with drug manufacturers, for the following:"
Security,Only authorized users shall have access to clinical site information.
Performance,The response shall be fast enough to avoid interrupting the user's flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.
Security,"A covered entity must have in place appropriate administrative, technical, and physical safeguards to protect the privacy of protected health information."
Operability,"System, high accessibility and uninterrupted service to be redundant and scalable"
Operability,All data processing functions shall be chainable (outputs pipeable to inputs) and repeatable in the processing pipeline in cases where this makes computational sense.
Usability,Every registered user will have access to the product's support site via the Internet.
Security,The administrator shall have the ability to remove a user from the system.
Operability,The product must be able to interface with any HTML browser.
Maintainability,"The ASC X12N 837ï¿½Health Care Claim: Dental, Version 4010, May 2000, Washington Publishing Company, 004010X097 and Addenda to Health Care Claim: Dental, Version 4010, October 2002, Washington Publishing Company, 004010X097A1."
Usability,The system shall provide textual descriptions or alternative functionalities for all non-text media like images and videos.
Operability,The system shall complete backup operations within 30 hours.
Security,Data processing processes in accordance with legal regulations
Security,Sensitive data is not stored in persistent cookies.
Maintainability,Use the applicable medical data code sets described in section 162.1002 as specified in the implementation specification adopted under this part that are valid at the time the health care is furnished.
Security,The system shall perform regular backups and encrypt all sensitive data including customer information.
Security,"On server, consider only opening port 443 (https)."
Security,The system shall comply with relevant regulations and security standards.
Security,The system shall only be accessed by authorized Corporate Community Grants (CCR) employees.
Operability,Queries must be made to external databases for data refresh once a week.
Security,Implement a security awareness and training program for all members of its workforce (including management).
Performance,System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.
Security,"The system must be able to associate permissions with a user using one or more of the following access controls: 1) user-based (access rights assigned to each user); 2) role-based (users are grouped and access rights assigned to these groups); or 3) context-based (role-based with additional access rights assigned or restricted based on the context of the transaction such as time-of-day, workstation-location, emergency-mode, etc.) The system shall support removal of a user's privileges without deleting the user from the system."
Maintainability,The system documentation shall be updated within 60 hours of changes.
Usability,The system shall be highly automatic to relieve the users of as many repetitive and tedious tasks as possible.
Operability,Website must interface with the CyberSource API to process credit card transactions.
Security,The product shall prevent the input of malicious data.
Performance,The system shall be scalable and adaptable to meet future growth and expansion needs.
Usability,Notice that the 'Add New Issue' dialog also uses the OpenEMR date selection tool described earlier.
Maintainability,"(b) Receive a nonstandard transaction (for example, nonstandard format possibly and possibly nonstandard data content) from the covered entity and translate it into a standard transaction for transmission on behalf of the covered entity."
Operability,There shall be a UNIX-based APAF system production computer with an archival system.
Security,The system shall protect private information in accordance with the organization's information policy.
Maintainability,The system shall be designed to facilitate future evolution and maintenance operations.
Operability,The product shall be able to be installed in any operating environment within 2 days.
Operability,The BE shall verify the successful receipt of incoming data from the Correlator.
Operability,The system shall accommodate separate instances of databases.
Maintainability,"The NCPDP Telecommunication Standard Implementation Guide, Version 5 Release 1, September 1999, and equivalent NCPDP Batch Standard Batch Implementation Guide, Version 1 Release 0, February 1, 1996."
Security,Implement a mechanism to encrypt and decrypt electronic protected health information.
Maintainability,"The ASC X12N 835ï¿½Health Care Claim Payment or Advice, Version 4010, May 2000, Washington Publishing Company, 004010X091, and Addenda to Health Care Claim Payment or Advice, Version 4010, October 2002, Washington Publishing Company, 004010X091A1."
Security,The system shall require multi-factor authentication for supervisor access.
Maintainability,Software system and application code shall be well documented and written in a generally familiar language or languages.
Security,The system shall maintain audit logs for 60 days.
Maintainability,"The National Council for Prescription Drug Programs Telecommunications Standards Implementaiton Guide, Version 5, Release 1, September 1999, and equivalent NCPDP Batch Standards Batch Implementation Guide, Version 1, Release 0, February 1, 1996."
Usability,The product shall be able to display calendar dates and times according to the user's locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.
Usability,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.
Operability,This provides the feed of recycled parts data.
Maintainability,"(2) International Classification of Diseases, 9th Edition, Clinical Modification, Volume 3 Procedures (including The Official ICDï¿½9ï¿½CM Guidelines for Coding and Reporting), as maintained and distributed by HHS, for the following procedures or other actions taken for diseases, injuries, and impairments on hospital inpatients reported by hospitals:"
